Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Ir6+3,Ir,6,1.371,90,2.84,0.073,12,3.731,UFF,,0,0.1,5,4,1.866
K_,K,1,1.953,180,3.812,0.035,12,1.165,UFF,,0,0.7,2.421,1.92,2.586
K_3f2,K,4,2.38,109.47,3.812,0.035,12,1.165,UFF4MOF2,,,,,,
K_4f2,K,4,2.01,90,3.812,0.035,12,1.165,UFF4MOF2,,,,,,
Kr4+4,Kr,4,1.147,90,4.141,0.22,16,0.452,UFF,,0,0.7,8.505,5.715,2.27
La2f2,La,3,1.86,120,3.522,0.017,12,3.3,UFF4MOF2,,,,,,
La3+3,La,4,1.943,109.47,3.522,0.017,12,3.3,UFF,,0,0.1,2.8355,2.7415,2.071
La8f4,La,8,1.66,109.47,3.522,0.017,12,3.3,UFF4MOF2,,,,,,
Li,Li,1,1.336,180,2.451,0.025,12,1.026,UFF,,0,2,3.006,2.386,1.557
Li3f2,Li,4,1.28,109.47,2.451,0.025,12,1.026,UFF4MOF2,,,,,,
Lu1f1,Lu,2,1.65,180,3.64,0.041,12,3.271,UFF4MOF2,,,,,,
Lu6+3,Lu,6,1.671,90,3.64,0.041,12,3.271,UFF,,0,0.1,2.9629,2.4629,1.896
Lu8f4,Lu,8,1.66,109.47,3.64,0.041,12,3.271,UFF4MOF2,,,,,,
Lw6+3,Lw,6,1.698,90,3.236,0.011,12,3.9,UFF,,0,0,3.5,3.2,1.9
Md6+3,Md,6,1.689,90,3.274,0.011,12,3.9,UFF,,0,0,3.47,3.11,1.9
Mg3+2,Mg,4,1.421,109.47,3.021,0.111,12,1.787,UFF,,0,1.25,3.951,3.693,1.5
Mg6f3,Mg,6,1.525,90,3.021,0.111,12,1.787,UFF4MOF2,,,,,,
Mn1f1,Mn,2,1.38,180,2.961,0.013,12,2.43,UFF4MOF2,,,,,,
Mn3f2,Mn,4,1.18,109.47,2.961,0.013,12,2.43,UFF4MOF2,,,,,,
Mn4+2,Mn,4,1.26,90,2.961,0.013,12,2.43,UFF4MOF,,,,,,
Mn6+2,Mn,6,1.382,90,2.961,0.013,12,2.43,UFF,,0,0.7,3.325,4.105,1.533
Mn6+3,Mn,6,1.34,90,2.961,0.013,12,2.43,UFF4MOF,,,,,,
Mn8f4,Mn,8,1.52,109.47,2.961,0.013,12,2.43,UFF4MOF2,,,,,,
Mo3+6,Mo,4,1.484,109.47,3.052,0.056,12,3.4,UFF,,0,0.2,3.465,3.755,1.53
Mo3f2,Mo,8,1.24,109.47,3.052,0.056,12,3.4,UFF4MOF2,,,,,,
Mo4f2,Mo,4,1.4,90,3.052,0.056,12,3.4,UFF4MOF2,,,,,,
Mo6+6,Mo,6,1.467,90,3.052,0.056,12,3.4,UFF,,0,0.2,3.465,3.755,1.53
Mo8f4,Mo,8,1.28,109.47,3.052,0.056,12,3.4,UFF4MOF2,,,,,,
N_1,N,2,0.656,180,3.66,0.069,13.407,2.544,UFF,,0,2,6.899,5.88,0.715
N_2,N,3,0.685,111.2,3.66,0.069,13.407,2.544,UFF,,0,2,6.899,5.88,0.715
N_3,N,4,0.7,106.7,3.66,0.069,13.407,2.544,UFF,,0.45,2,6.899,5.88,0.715
N_R,N,3,0.699,120,3.66,0.069,13.407,2.544,UFF,,0,2,6.899,5.88,0.715
Na,Na,1,1.539,180,2.983,0.03,12,1.081,UFF,,0,1.25,2.843,2.296,2.085
Na3f2,Na,4,1.623,109.47,2.983,0.03,12,1.081,UFF4MOF2,,,,,,
Na4f2,Na,4,1.79,90,2.983,0.03,12,1.081,UFF4MOF2,,,,,,
Nb3+5,Nb,4,1.473,109.47,3.165,0.059,12,3.618,UFF,,0,0.2,3.55,3.38,1.603
Nb8f4,Nb,8,1.37,109.47,3.165,0.059,12,3.618,UFF4MOF2,,,,,,
Nd6+3,Nd,6,1.816,90,3.575,0.01,12,3.3,UFF,,0,0.1,2.8685,2.6205,2.007
Nd8f4,Nd,8,1.78,109.47,3.575,0.01,12,3.3,UFF4MOF2,,,,,,
Ne4+4,Ne,4,0.92,90,3.243,0.042,15.44,0.194,UFF,,0,2,11.04,10.55,1.768
Ni4+2,Ni,4,1.164,90,2.834,0.015,12,2.43,UFF,,0,0.7,4.465,4.205,1.398
No6+3,No,6,1.679,90,3.248,0.011,12,3.9,UFF,,0,0,3.475,3.175,1.9
Np6+4,Np,6,1.666,90,3.424,0.019,12,3.9,UFF,,0,0,3.549,2.717,1.8
O_1,O,2,0.639,180,3.5,0.06,14.085,2.3,UFF,,0,2,8.741,6.682,0.669
O_2,O,3,0.634,120,3.5,0.06,14.085,2.3,UFF,,0,2,8.741,6.682,0.669
O_2_z,O,3,0.528,120,3.5,0.06,14.085,2.3,UFF4MOF,,,,,,
O_3,O,4,0.658,104.51,3.5,0.06,14.085,2.3,UFF,,0.018,2,8.741,6.682,0.669
O_3_f,O,4,0.634,109.47,3.5,0.06,14.085,2.3,UFF4MOF,,,,,,
O_3_z,O,4,0.528,146,3.5,0.06,14.085,2.3,UFF,,0.018,2,8.741,6.682,0.669
O_R,O,3,0.68,110,3.5,0.06,14.085,2.3,UFF,,0,2,8.741,6.682,0.669
Os6+6,Os,6,1.372,90,3.12,0.037,12,3.7,UFF,,0,0.1,5.14,3.63,1.7
P_3+3,P,4,1.101,93.8,4.147,0.305,13.072,2.863,UFF,,2.4,1.25,5.463,4,1.102
P_3+5,P,4,1.056,109.47,4.147,0.305,13.072,2.863,UFF,,2.4,1.25,5.463,4,1.102
P_3+q,P,4,1.056,109.47,4.147,0.305,13.072,2.863,UFF,,2.4,1.25,5.463,4,1.102
Pa6+4,Pa,6,1.711,90,3.424,0.022,12,3.9,UFF,,0,0,2.985,2.905,1.8
Pb3,Pb,4,1.459,109.47,4.297,0.663,12,2.846,UFF,,0.1,0.1,3.9,3.53,1.444
Pb4f2,Pb,4,1.67,90,4.297,0.663,12,2.846,UFF4MOF2,,,,,,
Pd4+2,Pd,4,1.338,90,2.899,0.048,12,3.21,UFF,,0,0.2,4.32,4,1.544
Pd6f3,Pd,6,1.19,90,2.899,0.048,12,3.21,UFF4MOF2,,,,,,
Pm6+3,Pm,6,1.801,90,3.547,0.009,12,3.3,UFF,,0,0.1,2.881,2.673,2
Po3+2,Po,4,1.5,90,4.709,0.325,14,2.33,UFF,,0.3,0.1,4.21,4.21,1.48
Pr6+3,Pr,6,1.823,90,3.606,0.01,12,3.3,UFF,,0,0.1,2.858,2.564,2.007
